Age,Attrition,DailyRate,DistanceFromHome,Education,EmployeeCount,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,Shift,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Cardiology,Department_Maternity,Department_Neurology,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,Gender_Male,JobRole_Admin,JobRole_Administrative,JobRole_Nurse,JobRole_Other,JobRole_Therapist,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Over18_Y,OverTime_No,OverTime_Yes
31.0,0.0,1398.0,8.0,2.0,1.0,4.0,96.0,4.0,1.0,2.0,2109.0,24609.0,9.0,18.0,3.0,4.0,80.0,0.0,8.0,3.0,3.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
37.0,0.0,1017.0,1.0,2.0,1.0,3.0,83.0,2.0,1.0,1.0,3920.0,18697.0,2.0,14.0,3.0,1.0,80.0,1.0,17.0,2.0,2.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
42.0,0.0,458.0,26.0,5.0,1.0,1.0,60.0,3.0,3.0,1.0,13191.0,23281.0,3.0,17.0,3.0,3.0,80.0,0.0,20.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
34.0,0.0,1107.0,9.0,4.0,1.0,1.0,52.0,3.0,1.0,3.0,2742.0,3072.0,1.0,15.0,3.0,4.0,80.0,0.0,2.0,0.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
41.0,1.0,1356.0,20.0,2.0,1.0,2.0,70.0,3.0,1.0,2.0,3140.0,21728.0,1.0,22.0,4.0,4.0,80.0,0.0,4.0,5.0,2.0,4.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
39.0,0.0,492.0,12.0,3.0,1.0,4.0,66.0,3.0,2.0,2.0,5295.0,7693.0,4.0,21.0,4.0,3.0,80.0,0.0,7.0,3.0,3.0,5.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
42.0,0.0,188.0,29.0,3.0,1.0,2.0,56.0,1.0,2.0,4.0,4272.0,9558.0,4.0,19.0,3.0,1.0,80.0,0.0,16.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
50.0,0.0,328.0,1.0,3.0,1.0,3.0,86.0,2.0,1.0,3.0,3690.0,3425.0,2.0,15.0,3.0,4.0,80.0,1.0,5.0,2.0,2.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
35.0,0.0,528.0,8.0,4.0,1.0,3.0,100.0,3.0,1.0,3.0,4323.0,7108.0,1.0,17.0,3.0,2.0,80.0,0.0,6.0,2.0,1.0,5.0,4.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
41.0,0.0,143.0,4.0,3.0,1.0,1.0,56.0,3.0,2.0,2.0,9355.0,9558.0,1.0,18.0,3.0,3.0,80.0,0.0,8.0,5.0,3.0,8.0,7.0,7.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
51.0,0.0,1169.0,7.0,4.0,1.0,2.0,34.0,2.0,2.0,3.0,6132.0,13983.0,2.0,17.0,3.0,3.0,80.0,0.0,10.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
53.0,0.0,1219.0,2.0,4.0,1.0,1.0,78.0,2.0,4.0,4.0,15427.0,22021.0,2.0,16.0,3.0,3.0,80.0,0.0,31.0,3.0,3.0,25.0,8.0,3.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
27.0,0.0,829.0,8.0,1.0,1.0,3.0,84.0,3.0,2.0,4.0,4342.0,24008.0,0.0,19.0,3.0,2.0,80.0,1.0,5.0,3.0,3.0,4.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
32.0,0.0,1474.0,11.0,4.0,1.0,4.0,60.0,4.0,2.0,3.0,4707.0,23914.0,8.0,12.0,3.0,4.0,80.0,0.0,6.0,2.0,3.0,4.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
32.0,0.0,1184.0,1.0,3.0,1.0,3.0,70.0,2.0,1.0,2.0,2332.0,3974.0,6.0,20.0,4.0,3.0,80.0,0.0,5.0,3.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
34.0,0.0,970.0,8.0,2.0,1.0,2.0,96.0,3.0,2.0,3.0,6142.0,7360.0,3.0,11.0,3.0,4.0,80.0,0.0,10.0,2.0,3.0,5.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
36.0,0.0,1218.0,9.0,4.0,1.0,3.0,82.0,2.0,1.0,1.0,3407.0,6986.0,7.0,23.0,4.0,2.0,80.0,0.0,10.0,4.0,3.0,5.0,3.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
21.0,0.0,1343.0,22.0,1.0,1.0,3.0,49.0,3.0,1.0,3.0,3447.0,24444.0,1.0,11.0,3.0,3.0,80.0,0.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
50.0,0.0,1246.0,3.0,3.0,1.0,1.0,99.0,3.0,5.0,2.0,18200.0,7999.0,1.0,11.0,3.0,3.0,80.0,1.0,32.0,2.0,3.0,32.0,5.0,10.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
48.0,0.0,277.0,6.0,3.0,1.0,1.0,97.0,2.0,2.0,3.0,4240.0,13119.0,2.0,13.0,3.0,4.0,80.0,0.0,19.0,0.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
29.0,0.0,995.0,2.0,1.0,1.0,1.0,87.0,3.0,2.0,4.0,8853.0,24483.0,1.0,19.0,3.0,4.0,80.0,1.0,6.0,0.0,4.0,6.0,4.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
50.0,0.0,145.0,1.0,3.0,1.0,4.0,95.0,3.0,2.0,3.0,6347.0,24920.0,0.0,12.0,3.0,1.0,80.0,1.0,19.0,3.0,3.0,18.0,7.0,0.0,13.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
33.0,0.0,654.0,5.0,3.0,1.0,4.0,34.0,2.0,3.0,4.0,7119.0,21214.0,4.0,15.0,3.0,3.0,80.0,1.0,9.0,2.0,3.0,3.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
37.0,0.0,290.0,21.0,3.0,1.0,2.0,65.0,4.0,1.0,1.0,3564.0,22977.0,1.0,12.0,3.0,1.0,80.0,1.0,8.0,3.0,2.0,8.0,7.0,1.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
27.0,0.0,486.0,8.0,3.0,1.0,2.0,86.0,4.0,1.0,3.0,3517.0,22490.0,7.0,17.0,3.0,1.0,80.0,0.0,5.0,0.0,3.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
59.0,0.0,142.0,3.0,3.0,1.0,3.0,70.0,2.0,1.0,4.0,2177.0,8456.0,3.0,17.0,3.0,1.0,80.0,1.0,7.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
24.0,1.0,1448.0,1.0,1.0,1.0,1.0,62.0,3.0,1.0,2.0,3202.0,21972.0,1.0,16.0,3.0,2.0,80.0,0.0,6.0,4.0,3.0,5.0,3.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
35.0,0.0,1137.0,21.0,1.0,1.0,4.0,51.0,3.0,2.0,4.0,4014.0,19170.0,1.0,25.0,4.0,4.0,80.0,1.0,10.0,2.0,1.0,10.0,6.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
36.0,0.0,217.0,18.0,4.0,1.0,1.0,78.0,3.0,2.0,4.0,7779.0,23238.0,2.0,20.0,4.0,1.0,80.0,0.0,18.0,0.0,3.0,11.0,9.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
60.0,0.0,1499.0,28.0,3.0,1.0,3.0,80.0,2.0,3.0,1.0,10266.0,2845.0,4.0,19.0,3.0,4.0,80.0,0.0,22.0,5.0,4.0,18.0,13.0,13.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
32.0,0.0,430.0,24.0,4.0,1.0,1.0,80.0,3.0,2.0,4.0,5309.0,21146.0,1.0,15.0,3.0,4.0,80.0,2.0,10.0,2.0,3.0,10.0,8.0,4.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
32.0,0.0,1311.0,7.0,3.0,1.0,2.0,100.0,4.0,1.0,2.0,2794.0,26062.0,1.0,20.0,4.0,3.0,80.0,0.0,5.0,3.0,1.0,5.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
55.0,0.0,1136.0,1.0,4.0,1.0,2.0,81.0,4.0,4.0,4.0,14732.0,12414.0,2.0,13.0,3.0,4.0,80.0,2.0,31.0,4.0,4.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
18.0,1.0,247.0,8.0,1.0,1.0,3.0,80.0,3.0,1.0,3.0,1904.0,13556.0,1.0,12.0,3.0,4.0,80.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
30.0,0.0,990.0,7.0,3.0,1.0,3.0,64.0,3.0,1.0,3.0,1274.0,7152.0,1.0,13.0,3.0,2.0,80.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
29.0,1.0,805.0,1.0,2.0,1.0,2.0,36.0,2.0,1.0,1.0,2319.0,6689.0,1.0,11.0,3.0,4.0,80.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
37.0,0.0,367.0,25.0,2.0,1.0,3.0,52.0,2.0,2.0,4.0,5731.0,17171.0,7.0,13.0,3.0,3.0,80.0,2.0,9.0,2.0,3.0,6.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
53.0,0.0,1084.0,13.0,2.0,1.0,4.0,57.0,4.0,2.0,1.0,4450.0,26250.0,1.0,11.0,3.0,3.0,80.0,2.0,5.0,3.0,3.0,4.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
32.0,0.0,1045.0,4.0,4.0,1.0,4.0,32.0,1.0,3.0,4.0,10400.0,25812.0,1.0,11.0,3.0,3.0,80.0,0.0,14.0,2.0,2.0,14.0,8.0,9.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
40.0,0.0,1094.0,28.0,3.0,1.0,3.0,58.0,1.0,3.0,1.0,10932.0,11373.0,3.0,15.0,3.0,3.0,80.0,1.0,20.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
40.0,1.0,1479.0,24.0,3.0,1.0,2.0,100.0,4.0,4.0,2.0,13194.0,17071.0,4.0,16.0,3.0,4.0,80.0,0.0,22.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
45.0,0.0,336.0,26.0,3.0,1.0,1.0,52.0,2.0,2.0,1.0,4385.0,24162.0,1.0,15.0,3.0,1.0,80.0,1.0,10.0,2.0,3.0,10.0,7.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
36.0,0.0,711.0,5.0,4.0,1.0,2.0,42.0,3.0,3.0,1.0,8008.0,22792.0,4.0,12.0,3.0,3.0,80.0,2.0,9.0,6.0,3.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
51.0,0.0,684.0,6.0,3.0,1.0,1.0,51.0,3.0,5.0,3.0,19537.0,6462.0,7.0,13.0,3.0,3.0,80.0,0.0,23.0,5.0,3.0,20.0,18.0,15.0,15.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43.0,0.0,1273.0,2.0,2.0,1.0,4.0,72.0,4.0,1.0,3.0,2645.0,21923.0,1.0,12.0,3.0,4.0,80.0,2.0,6.0,3.0,2.0,5.0,3.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
46.0,0.0,945.0,5.0,2.0,1.0,2.0,80.0,3.0,2.0,2.0,5021.0,10425.0,8.0,22.0,4.0,4.0,80.0,1.0,16.0,2.0,3.0,4.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
37.0,0.0,482.0,3.0,3.0,1.0,3.0,36.0,3.0,3.0,3.0,9434.0,9606.0,1.0,15.0,3.0,3.0,80.0,1.0,10.0,2.0,3.0,10.0,7.0,7.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
31.0,0.0,1327.0,3.0,4.0,1.0,2.0,73.0,3.0,3.0,3.0,13675.0,13523.0,9.0,12.0,3.0,1.0,80.0,1.0,9.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
43.0,0.0,1082.0,27.0,3.0,1.0,3.0,83.0,3.0,3.0,1.0,10820.0,11535.0,8.0,11.0,3.0,3.0,80.0,1.0,18.0,1.0,3.0,8.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
56.0,0.0,206.0,8.0,4.0,1.0,4.0,99.0,3.0,5.0,2.0,19717.0,4022.0,6.0,14.0,3.0,1.0,80.0,0.0,36.0,4.0,3.0,7.0,3.0,7.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
32.0,0.0,824.0,5.0,2.0,1.0,4.0,67.0,2.0,2.0,2.0,5878.0,15624.0,3.0,12.0,3.0,1.0,80.0,1.0,12.0,2.0,3.0,7.0,1.0,2.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
30.0,0.0,921.0,1.0,3.0,1.0,4.0,38.0,1.0,1.0,3.0,3833.0,24375.0,3.0,21.0,4.0,3.0,80.0,2.0,7.0,2.0,3.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
39.0,0.0,505.0,2.0,4.0,1.0,3.0,64.0,3.0,3.0,3.0,10938.0,6420.0,0.0,25.0,4.0,4.0,80.0,0.0,20.0,1.0,3.0,19.0,6.0,11.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
