Age,YearsAtCompany,MonthlyIncome,WorkLifeBalance,JobSatisfaction,PerformanceRating,NumberofPromotions,DistanceFromHome,Education,NumberofDependents,JobLevel,CompanyTenure,CompanyReputation,EmployeeRecognition,Attrition,Gender_Female,Gender_Male,JobRole_Healthcare,OverTime_No,OverTime_Yes,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,CompanySize_Large,CompanySize_Medium,CompanySize_Small,RemoteWork_No,RemoteWork_Yes,LeadershipOpportunities_No,LeadershipOpportunities_Yes,InnovationOpportunities_No,InnovationOpportunities_Yes
55.0,6.0,9355.0,2.0,4.0,4.0,0.0,44.0,3.0,3.0,3.0,64.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
51.0,16.0,8407.0,3.0,4.0,4.0,1.0,63.0,3.0,1.0,1.0,66.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
47.0,24.0,8631.0,2.0,4.0,4.0,0.0,35.0,3.0,3.0,3.0,89.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
37.0,2.0,7949.0,4.0,2.0,4.0,0.0,95.0,1.0,5.0,1.0,6.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
21.0,10.0,7967.0,2.0,3.0,4.0,0.0,44.0,4.0,1.0,3.0,64.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
53.0,23.0,8876.0,2.0,1.0,4.0,2.0,68.0,1.0,3.0,1.0,78.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
49.0,9.0,8340.0,3.0,3.0,4.0,1.0,73.0,3.0,0.0,1.0,77.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
31.0,19.0,6135.0,3.0,3.0,4.0,0.0,41.0,5.0,0.0,1.0,88.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
47.0,28.0,7063.0,1.0,4.0,3.0,0.0,62.0,2.0,0.0,3.0,49.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
35.0,17.0,7625.0,3.0,3.0,4.0,0.0,26.0,3.0,0.0,2.0,31.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
40.0,5.0,6993.0,2.0,2.0,4.0,0.0,57.0,1.0,0.0,1.0,75.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
52.0,15.0,7529.0,3.0,2.0,4.0,0.0,61.0,3.0,5.0,1.0,34.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
58.0,6.0,8762.0,2.0,3.0,4.0,0.0,72.0,3.0,0.0,1.0,38.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
26.0,3.0,7406.0,3.0,1.0,3.0,3.0,91.0,2.0,0.0,1.0,57.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
56.0,32.0,6690.0,4.0,2.0,4.0,1.0,35.0,1.0,1.0,1.0,80.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
55.0,40.0,9177.0,2.0,1.0,3.0,0.0,65.0,2.0,0.0,2.0,106.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
26.0,8.0,7859.0,3.0,2.0,4.0,4.0,44.0,1.0,5.0,3.0,35.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
44.0,13.0,7430.0,3.0,1.0,4.0,1.0,23.0,2.0,3.0,2.0,73.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
19.0,3.0,7979.0,2.0,2.0,3.0,1.0,46.0,1.0,2.0,1.0,27.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
54.0,2.0,8736.0,3.0,4.0,4.0,0.0,86.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
58.0,39.0,6929.0,2.0,3.0,4.0,0.0,56.0,2.0,3.0,1.0,76.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
21.0,2.0,10167.0,2.0,3.0,4.0,0.0,54.0,2.0,2.0,2.0,65.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
51.0,16.0,9063.0,1.0,4.0,4.0,0.0,9.0,2.0,1.0,2.0,90.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
45.0,20.0,8926.0,4.0,3.0,4.0,4.0,89.0,1.0,1.0,3.0,80.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
44.0,35.0,7838.0,2.0,3.0,4.0,1.0,19.0,2.0,4.0,3.0,53.0,4.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
28.0,6.0,6669.0,3.0,4.0,4.0,0.0,39.0,5.0,3.0,2.0,41.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
56.0,46.0,8423.0,3.0,3.0,4.0,0.0,96.0,4.0,3.0,1.0,118.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
21.0,13.0,9152.0,1.0,3.0,4.0,0.0,60.0,3.0,0.0,1.0,20.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
50.0,38.0,8299.0,2.0,1.0,3.0,0.0,28.0,3.0,0.0,2.0,59.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
47.0,13.0,6467.0,3.0,3.0,3.0,2.0,25.0,3.0,2.0,1.0,82.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
55.0,43.0,7440.0,1.0,2.0,4.0,0.0,1.0,1.0,0.0,1.0,97.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
56.0,38.0,8883.0,1.0,1.0,4.0,0.0,69.0,4.0,3.0,2.0,100.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
20.0,9.0,8161.0,3.0,1.0,4.0,0.0,86.0,3.0,2.0,2.0,35.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
59.0,40.0,8328.0,3.0,4.0,4.0,0.0,46.0,2.0,0.0,1.0,44.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
58.0,44.0,8331.0,2.0,2.0,4.0,2.0,38.0,2.0,1.0,2.0,117.0,3.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
50.0,30.0,8113.0,2.0,3.0,4.0,0.0,19.0,1.0,0.0,3.0,78.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
22.0,5.0,9117.0,3.0,3.0,3.0,0.0,7.0,3.0,4.0,2.0,34.0,4.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
26.0,5.0,8268.0,3.0,2.0,4.0,4.0,6.0,4.0,4.0,2.0,53.0,4.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
51.0,28.0,7345.0,2.0,3.0,4.0,1.0,43.0,1.0,0.0,1.0,29.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
22.0,2.0,8184.0,4.0,3.0,3.0,1.0,98.0,3.0,6.0,1.0,79.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
36.0,9.0,9055.0,4.0,3.0,4.0,0.0,61.0,3.0,4.0,2.0,24.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
20.0,6.0,5970.0,3.0,3.0,4.0,1.0,54.0,2.0,2.0,1.0,27.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
42.0,6.0,7741.0,4.0,3.0,4.0,0.0,4.0,4.0,3.0,1.0,28.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
25.0,17.0,8611.0,3.0,3.0,4.0,0.0,4.0,2.0,5.0,1.0,60.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
40.0,12.0,8482.0,2.0,3.0,4.0,1.0,18.0,4.0,1.0,1.0,46.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
39.0,13.0,8976.0,3.0,3.0,3.0,4.0,82.0,4.0,0.0,1.0,25.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
19.0,5.0,8482.0,1.0,4.0,4.0,0.0,57.0,1.0,5.0,3.0,31.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
45.0,15.0,7730.0,1.0,4.0,4.0,0.0,81.0,4.0,2.0,1.0,76.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
34.0,19.0,7909.0,2.0,1.0,4.0,2.0,12.0,3.0,3.0,2.0,48.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
33.0,20.0,7265.0,2.0,3.0,4.0,0.0,40.0,3.0,2.0,2.0,86.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
35.0,25.0,7153.0,4.0,3.0,4.0,2.0,63.0,3.0,2.0,1.0,91.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
33.0,22.0,7714.0,2.0,4.0,4.0,2.0,7.0,3.0,2.0,3.0,83.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
45.0,33.0,6063.0,3.0,3.0,4.0,0.0,6.0,3.0,4.0,2.0,84.0,4.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
50.0,39.0,7600.0,3.0,3.0,4.0,0.0,60.0,3.0,0.0,3.0,107.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
59.0,16.0,8392.0,2.0,2.0,4.0,1.0,17.0,4.0,0.0,2.0,26.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
32.0,21.0,7104.0,4.0,1.0,3.0,2.0,31.0,1.0,0.0,1.0,25.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
22.0,1.0,8756.0,1.0,3.0,4.0,1.0,55.0,3.0,4.0,1.0,23.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
23.0,2.0,8081.0,4.0,2.0,4.0,0.0,81.0,2.0,0.0,3.0,52.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
46.0,38.0,7244.0,3.0,3.0,4.0,0.0,48.0,5.0,3.0,2.0,46.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
54.0,41.0,6877.0,3.0,1.0,4.0,3.0,45.0,1.0,2.0,2.0,67.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
23.0,9.0,6957.0,3.0,4.0,4.0,0.0,69.0,4.0,2.0,1.0,81.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
46.0,29.0,6468.0,1.0,2.0,4.0,2.0,21.0,1.0,3.0,2.0,72.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
24.0,1.0,7256.0,1.0,3.0,4.0,2.0,11.0,1.0,0.0,2.0,61.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
30.0,13.0,9321.0,2.0,4.0,4.0,1.0,94.0,2.0,0.0,1.0,51.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
45.0,33.0,9436.0,2.0,1.0,4.0,2.0,54.0,3.0,1.0,1.0,97.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
18.0,3.0,8548.0,3.0,4.0,4.0,0.0,30.0,3.0,1.0,2.0,58.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
29.0,4.0,7419.0,2.0,4.0,4.0,0.0,5.0,2.0,1.0,2.0,46.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
26.0,3.0,7321.0,3.0,3.0,4.0,2.0,41.0,1.0,3.0,2.0,77.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
21.0,3.0,9090.0,1.0,3.0,4.0,0.0,44.0,3.0,1.0,3.0,52.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
47.0,19.0,7557.0,3.0,4.0,3.0,0.0,29.0,4.0,0.0,3.0,79.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
44.0,17.0,7852.0,3.0,2.0,4.0,0.0,14.0,2.0,0.0,2.0,31.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
42.0,30.0,9487.0,4.0,1.0,4.0,0.0,43.0,3.0,1.0,2.0,81.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
30.0,19.0,7343.0,3.0,3.0,4.0,0.0,20.0,1.0,0.0,2.0,54.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
31.0,10.0,8528.0,3.0,4.0,4.0,2.0,31.0,2.0,1.0,2.0,82.0,4.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
38.0,8.0,7973.0,2.0,3.0,3.0,0.0,38.0,4.0,0.0,2.0,21.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
48.0,13.0,7175.0,1.0,3.0,3.0,0.0,75.0,2.0,2.0,2.0,29.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
44.0,18.0,8077.0,2.0,4.0,4.0,1.0,23.0,3.0,2.0,1.0,50.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
24.0,8.0,7677.0,2.0,3.0,4.0,1.0,5.0,1.0,3.0,3.0,31.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
51.0,30.0,7340.0,4.0,4.0,4.0,1.0,21.0,3.0,4.0,3.0,84.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
48.0,35.0,8537.0,3.0,4.0,4.0,0.0,57.0,4.0,1.0,1.0,90.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
20.0,7.0,7278.0,2.0,1.0,4.0,0.0,3.0,4.0,0.0,2.0,84.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
34.0,11.0,9518.0,2.0,3.0,4.0,0.0,99.0,3.0,2.0,3.0,75.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
57.0,37.0,6831.0,4.0,4.0,3.0,0.0,78.0,1.0,3.0,1.0,93.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
42.0,29.0,10568.0,1.0,1.0,4.0,0.0,89.0,4.0,1.0,1.0,74.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
42.0,9.0,8592.0,3.0,2.0,4.0,0.0,55.0,1.0,0.0,1.0,80.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
23.0,1.0,6623.0,2.0,3.0,4.0,0.0,38.0,2.0,0.0,3.0,54.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
28.0,1.0,9910.0,4.0,3.0,4.0,0.0,3.0,4.0,2.0,2.0,76.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
29.0,20.0,5964.0,4.0,4.0,3.0,3.0,24.0,1.0,1.0,1.0,33.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
30.0,8.0,9820.0,2.0,2.0,3.0,0.0,59.0,1.0,0.0,1.0,64.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
25.0,4.0,8322.0,2.0,3.0,4.0,3.0,38.0,3.0,4.0,2.0,74.0,3.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
19.0,6.0,7571.0,1.0,1.0,4.0,0.0,57.0,3.0,1.0,2.0,83.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
21.0,3.0,8722.0,4.0,3.0,4.0,0.0,61.0,2.0,1.0,2.0,12.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
